fre1_num4,call_fre1,fre2_num4,call_fre2,fre3_num4,call_fre3,fre4_num4,call_fre4,fre5_num4,call_fre5,lacfre1_num4,lac_fre1,lacfre2_num4,lac_fre2,lacfre3_num4,lac_fre3,cefre1_num4,cellid_fre1,cefre2_num4,cellid_fre2,cefre3_num4,cellid_fre3,T1_fre,T2_fre,T3_fre,T4_fre,T5_fre,T6_fre,early_fre,late_fre,mid_term_fre,opp_attr_code_ur,roam_code_ur,single_num,call_type1,call_type2,dur_type120<x<=150,dur_type150<x<=180,dur_type180<x<=210,dur_type210<x<=240,dur_type240<x<=270,dur_type30<x<=60,dur_type60<x<=90,dur_type90<x<=120,dur_typex<=30,dur_typex>270,longdis_type0,longdis_type2,longdis_type3,longdis_type4,longdis_type5,opp_operator0,opp_operator1,opp_operator2,opp_operator3,opp_operator4,roam_type0,roam_type1,roam_type4,roam_type5
804,36,1892,33,9701,19,2708,15,9570,12,7334,123,1230,53,7324,39,8096,67,6561,22,1336,20,0,2,59,150,218,231,82,90,59,0.10619469,0.251101322,231,0.532467532,0.467532468,0.034632035,0.034632035,0.021645022,0.008658009,0.004329004,0.32034632,0.203463203,0.073593074,0.277056277,0.021645022,0.714285714,0.281385281,0.004329004,0,0,0,0.216450216,0.086580087,0.696969697,0,0.748917749,0.251082251,0,0
171,6,1855,6,2394,6,9635,4,3425,4,7332,23,7204,11,7334,2,3112,7,9833,5,4972,3,1,1,16,23,33,36,15,9,12,0,0.285714286,36,0,1,0.055555556,0.027777778,0,0.111111111,0.027777778,0.333333333,0.138888889,0.083333333,0.194444444,0.027777778,1,0,0,0,0,0,0.194444444,0.416666667,0.388888889,0,1,0,0,0
7181,8,830,7,5722,4,273,2,1558,2,7558,34,0,0,0,0,1381,17,8836,9,8835,3,0,5,14,25,32,34,12,9,13,0,0,34,0.470588235,0.529411765,0,0.029411765,0,0,0,0.205882353,0.117647059,0,0.558823529,0.088235294,1,0,0,0,0,0,0.029411765,0.058823529,0.911764706,0,1,0,0,0
2780,43,7670,41,7675,20,419,11,4059,8,7556,83,7334,21,7430,14,4743,76,8880,19,1147,10,1,8,40,86,122,142,52,57,33,0.021428571,0.1,142,0.26056338,0.73943662,0.021126761,0.014084507,0.007042254,0,0.014084507,0.246478873,0.070422535,0.028169014,0.584507042,0.014084507,0.992957746,0,0.007042254,0,0,0,0.985915493,0,0.014084507,0,0.992957746,0,0.007042254,0
2615,62,5441,52,338,41,3076,27,5286,26,7556,289,7562,86,7558,32,1744,181,4741,53,8432,35,14,65,238,333,413,421,184,111,126,0.111111111,0,421,0.529691211,0.470308789,0.038004751,0.019002375,0.014251781,0.014251781,0.007125891,0.228028504,0.102137767,0.066508314,0.418052257,0.09263658,0.954869359,0.03087886,0.014251781,0,0,0,0.425178147,0.09976247,0.472684086,0.002375297,1,0,0,0
9838,11,2866,11,3061,10,6972,9,4100,7,7324,68,9366,11,7558,7,7522,50,341,8,1221,7,0,21,56,81,92,97,39,22,36,0.184782609,0.157894737,97,0.381443299,0.618556701,0.041237113,0.020618557,0.010309278,0.010309278,0,0.268041237,0.051546392,0.051546392,0.515463918,0.030927835,0.793814433,0.18556701,0.020618557,0,0,0,0.257731959,0.195876289,0.546391753,0,0.824742268,0.175257732,0,0
3322,17,6599,12,4041,9,6803,8,8963,5,7332,67,7334,35,0,0,5778,36,7678,23,3339,16,2,20,57,75,101,102,26,44,32,0,0,102,0.382352941,0.617647059,0,0,0,0,0,0.18627451,0.107843137,0.019607843,0.666666667,0.019607843,1,0,0,0,0,0,0.176470588,0.294117647,0.529411765,0,1,0,0,0
7679,15,6693,6,2436,5,6208,2,7285,2,7558,20,3650,17,7430,1,8368,16,9833,11,9832,4,0,8,12,23,37,38,18,3,17,0.333333333,0.472222222,38,0.368421053,0.631578947,0.052631579,0,0.052631579,0.026315789,0,0.105263158,0.078947368,0,0.578947368,0.105263158,0.631578947,0.263157895,0.105263158,0,0,0,0.157894737,0.026315789,0.815789474,0,0.552631579,0.447368421,0,0
7534,12,798,7,2383,5,518,4,7400,3,7334,15,7454,7,7332,7,3176,6,3175,5,2849,3,0,1,13,29,37,38,3,5,30,0,0.25,38,0.552631579,0.447368421,0.026315789,0.052631579,0.026315789,0.026315789,0.026315789,0.131578947,0.105263158,0,0.605263158,0,1,0,0,0,0,0,0.105263158,0.421052632,0.473684211,0,1,0,0,0
3908,50,2086,15,5202,11,7397,9,5510,5,7558,85,1664,16,1668,3,6510,55,6508,18,3710,9,0,7,35,74,105,109,43,33,33,0.018691589,0.196261682,109,0.550458716,0.449541284,0,0.009174312,0.036697248,0.018348624,0.009174312,0.247706422,0.091743119,0.036697248,0.486238532,0.064220183,0.981651376,0.018348624,0,0,0,0,0.183486239,0.082568807,0.733944954,0,0.981651376,0.018348624,0,0
