fre1_num4,call_fre1,fre2_num4,call_fre2,fre3_num4,call_fre3,fre4_num4,call_fre4,fre5_num4,call_fre5,lacfre1_num4,lac_fre1,lacfre2_num4,lac_fre2,lacfre3_num4,lac_fre3,cefre1_num4,cellid_fre1,cefre2_num4,cellid_fre2,cefre3_num4,cellid_fre3,T1_fre,T2_fre,T3_fre,T4_fre,T5_fre,T6_fre,early_fre,late_fre,mid_term_fre,opp_attr_code_ur,roam_code_ur,single_num,call_type1,call_type2,dur_type120<x<=150,dur_type150<x<=180,dur_type180<x<=210,dur_type210<x<=240,dur_type240<x<=270,dur_type30<x<=60,dur_type60<x<=90,dur_type90<x<=120,dur_typex<=30,dur_typex>270,longdis_type0,longdis_type2,longdis_type3,longdis_type4,longdis_type5,opp_operator0,opp_operator1,opp_operator2,opp_operator3,opp_operator4,roam_type0,roam_type1,roam_type4,roam_type5
6339,24,8414,14,8323,13,8427,12,7649,8,7324,143,7332,13,7334,7,2090,79,7343,19,2093,17,0,32,81,113,154,163,58,45,60,0.050314465,0,163,0.484662577,0.515337423,0.036809816,0.018404908,0,0,0.024539877,0.245398773,0.061349693,0.055214724,0.533742331,0.024539877,0.950920245,0,0.049079755,0,0,0,0.251533742,0.294478528,0.45398773,0,1,0,0,0
1445,53,158,6,8543,5,1656,4,7198,3,7324,108,7332,25,7556,4,3646,56,8841,21,9233,11,2,23,56,81,124,138,46,49,43,0.106060606,0,138,0.615942029,0.384057971,0.014492754,0.014492754,0.007246377,0,0.02173913,0.210144928,0.108695652,0.02173913,0.543478261,0.057971014,0.927536232,0.065217391,0.007246377,0,0,0,0.188405797,0.15942029,0.652173913,0,1,0,0,0
3696,120,962,31,1410,25,4532,18,6288,12,7562,250,7558,4,7556,2,3845,113,3844,62,2370,42,3,55,137,180,248,256,92,82,82,0.09486166,0,256,0.1875,0.8125,0.04296875,0.0390625,0.00390625,0.01171875,0.0078125,0.234375,0.0859375,0.06640625,0.41796875,0.08984375,0.9921875,0.0078125,0,0,0,0,0.55078125,0.0234375,0.42578125,0,1,0,0,0
1458,17,4273,13,6092,12,1191,12,5349,8,7380,110,7332,26,7562,24,4670,78,4648,14,1035,10,5,72,102,122,158,162,64,62,36,0,0,162,0.567901235,0.432098765,0.086419753,0.00617284,0.018518519,0.012345679,0.024691358,0.333333333,0.117283951,0.061728395,0.327160494,0.012345679,1,0,0,0,0,0,0.12962963,0.25308642,0.617283951,0,1,0,0,0
6127,5,3122,3,2657,3,3886,2,6578,2,7136,14,7324,4,7140,2,9151,9,5221,3,6528,2,0,1,11,17,21,24,11,3,10,0.086956522,0.217391304,24,0.25,0.75,0.041666667,0.083333333,0.041666667,0.041666667,0.041666667,0.25,0.166666667,0,0.291666667,0.041666667,1,0,0,0,0,0,0.458333333,0.458333333,0.083333333,0,1,0,0,0
7439,22,6957,21,7333,19,4832,14,5928,10,7332,127,7334,50,7324,48,1159,46,1158,43,292,37,2,13,93,157,225,232,70,83,79,0,0,232,0.25862069,0.74137931,0.025862069,0.021551724,0.025862069,0.021551724,0.00862069,0.297413793,0.142241379,0.056034483,0.340517241,0.060344828,1,0,0,0,0,0,0.318965517,0.275862069,0.400862069,0.004310345,1,0,0,0
5220,20,9872,15,6420,14,5990,12,6807,11,4784,169,4842,37,7332,25,7533,167,2183,11,365,8,0,23,109,171,236,255,91,93,71,0.567901235,0.150793651,255,0.541176471,0.458823529,0.023529412,0.031372549,0.015686275,0.007843137,0.023529412,0.278431373,0.137254902,0.094117647,0.294117647,0.094117647,0.356862745,0.007843137,0.635294118,0,0,0,0.282352941,0.098039216,0.615686275,0.003921569,0.145098039,0.007843137,0.847058824,0
949,30,9942,17,8065,13,3606,5,3759,5,7334,76,7324,4,9000,3,7614,41,9874,5,7616,5,0,14,35,63,86,88,23,40,25,0.022988506,0.045977011,88,0.397727273,0.602272727,0.022727273,0.045454545,0.022727273,0.011363636,0,0.227272727,0.125,0.045454545,0.397727273,0.102272727,0.943181818,0.045454545,0.011363636,0,0,0,0.079545455,0.022727273,0.897727273,0,0.943181818,0.056818182,0,0
8099,21,5751,18,4717,16,4939,14,1582,14,7324,321,7332,7,7334,4,8874,189,8873,47,3677,27,7,21,125,214,287,332,105,116,111,0.009146341,0,332,0.454819277,0.545180723,0.027108434,0.015060241,0.015060241,0.018072289,0.009036145,0.280120482,0.138554217,0.069277108,0.409638554,0.018072289,0.996987952,0.003012048,0,0,0,0,0.298192771,0.165662651,0.536144578,0,1,0,0,0
2578,16,837,6,373,5,7367,4,6340,3,7562,41,0,0,0,0,507,30,9579,8,6459,1,0,3,17,28,38,41,16,11,14,0,0,41,0.512195122,0.487804878,0,0.024390244,0,0,0,0.146341463,0.073170732,0,0.756097561,0,1,0,0,0,0,0,0.682926829,0.097560976,0.219512195,0,1,0,0,0
7533,14,4997,7,9957,3,8699,2,5531,2,7562,33,3302,1,0,0,4494,22,291,4,2854,2,0,11,20,20,34,34,9,17,8,0,0.03030303,34,0.323529412,0.676470588,0,0,0.029411765,0,0.029411765,0.205882353,0.147058824,0.058823529,0.529411765,0,0.970588235,0,0.029411765,0,0,0,0.205882353,0.5,0.294117647,0,0.970588235,0,0.029411765,0
